"","Package","LibPath","Version","Priority","Built"
"207","purge","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.0"
"208","purrr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.5",NA,"3.4.4"
"209","quantmod","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-13",NA,"3.4.4"
"210","quantreg","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","5.36",NA,"3.4.4"
"211","R.methodsS3","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.1",NA,"3.4.0"
"212","R.oo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.22.0",NA,"3.4.4"
"213","R.utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6.0",NA,"3.4.2"
"214","R6","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.2",NA,"3.4.0"
"215","randomForest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.6-14",NA,"3.4.4"
"216","ranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10.1",NA,"3.4.4"
"217","rappdirs","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.1",NA,"3.4.0"
"218","raster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6-7",NA,"3.4.2"
"219","RColorBrewer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.0"
"220","Rcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.12.17",NA,"3.4.4"
"221","RcppEigen","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.3.4.0",NA,"3.4.3"
"222","RcppRoll","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.2"
"223","RCurl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.95-4.10",NA,"3.4.3"
"224","readr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.0"
"225","readxl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.4"
"226","recipes","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.3"
"227","rematch","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.0"
"228","rematch2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.1"
"229","reprex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.2"
"230","repurrrsive","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.0",NA,"3.4.1"
"231","reshape","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.7",NA,"3.4.1"
"232","reshape2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.3",NA,"3.4.3"
"233","reticulate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.10",NA,"3.4.4"
"234","rex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.2"
"235","rgdal","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-3",NA,"3.4.4"
"236","rgl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.99.16",NA,"3.4.4"
"237","RgoogleMaps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.2",NA,"3.4.4"
"238","rhandsontable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.6",NA,"3.4.3"
"239","rio","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.10",NA,"3.4.4"
"240","rJava","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-10",NA,"3.4.4"
"241","RJDBC","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-7.1",NA,"3.4.4"
"242","rjson","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.20",NA,"3.4.4"
"243","RJSONIO","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-0",NA,"3.4.0"
"244","rlang","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.4"
"245","rmarkdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.10",NA,"3.4.2"
"246","robustbase","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.93-0",NA,"3.4.4"
"247","ROCR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-7",NA,"3.4.0"
"248","ROSE","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0-3",NA,"3.4.0"
"249","rpart","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.1-13","recommended","3.4.3"
"250","rpart.plot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.2.0",NA,"3.4.4"
"251","RPostgreSQL","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6-2",NA,"3.4.1"
"252","rprojroot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.3"
"253","rsconnect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.8",NA,"3.4.4"
"254","RSQLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.1",NA,"3.4.4"
"255","rstan","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.17.3",NA,"3.4.3"
"256","rstudioapi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.1"
"257","rvest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.2",NA,"3.4.0"
"258","scales","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.1"
"259","sdcMicro","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","5.3.0",NA,"3.4.4"
"260","selectr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-1",NA,"3.4.4"
